Date,AAPL,GOOGL,MSFT
2020-01-02,72.716064453125,68.1083755493164,153.32327270507812
2020-01-03,72.00912475585938,67.75206756591797,151.4141387939453
2020-01-06,72.5829086303711,69.55794525146484,151.8054962158203
2020-01-07,72.24153900146484,69.42359161376953,150.42137145996094
2020-01-08,73.40364074707031,69.917724609375,152.8173370361328
2020-01-09,74.96279907226562,70.65172576904297,154.72647094726562
2020-01-10,75.13227081298828,71.1080322265625,154.0105743408203
2020-01-13,76.73743438720703,71.65890502929688,155.86245727539062
2020-01-14,75.70121002197266,71.18915557861328,154.76467895507812
2020-01-15,75.3768081665039,71.61759948730469,155.7669677734375
2020-01-16,76.32099151611328,72.16299438476562,158.62115478515625
2020-01-17,77.16594696044922,73.6240005493164,159.50888061523438
2020-01-21,76.64301300048828,73.7598648071289,158.9361572265625
2020-01-22,76.91658782958984,73.84046936035156,158.1724853515625
2020-01-23,77.2870101928711,73.88127899169922,159.14617919921875
2020-01-24,77.06426239013672,72.95967864990234,157.54248046875
2020-01-27,74.79815673828125,71.24588012695312,154.90785217285156
2020-01-28,76.9141616821289,72.17991638183594,157.94342041015625
2020-01-29,78.52415466308594,72.48843383789062,160.40618896484375
2020-01-30,78.4103775024414,72.36651611328125,164.9308319091797
2020-01-31,74.93375396728516,71.29812622070312,162.4966583251953
2020-02-03,74.72795104980469,73.77727508544922,166.45819091796875
2020-02-04,77.19499969482422,71.92662048339844,171.9374237060547
2020-02-05,77.824462890625,71.95846557617188,171.72740173339844
2020-02-06,78.73479461669922,73.44735717773438,175.2879638671875
2020-02-07,77.6645736694336,73.60359954833984,175.53616333007812
2020-02-10,78.03343963623047,75.0740737915039,180.1276092529297
2020-02-11,77.56262969970703,75.14374542236328,176.06114196777344
2020-02-12,79.40457916259766,75.57020568847656,176.31890869140625
2020-02-13,78.8391342163086,75.3094482421875,175.36431884765625
2020-02-14,78.85855865478516,75.5751724243164,176.92977905273438
2020-02-18,77.41460418701172,75.61051177978516,178.7244110107422
2020-02-19,78.5357894897461,75.8807144165039,179.2604217529297
2020-02-20,77.7300796508789,75.48858642578125,176.52291870117188
2020-02-21,75.9706802368164,73.820068359375,170.9425506591797
2020-02-24,72.36202239990234,70.65519714355469,163.572265625
2020-02-25,69.91096496582031,68.98617553710938,160.87303161621094
2020-02-26,71.02000427246094,69.19268798828125,162.88304138183594
2020-02-27,66.37757110595703,65.43465423583984,151.4065399169922
2020-02-28,66.33873748779297,66.64387512207031,155.072509765625
2020-03-02,72.5149154663086,68.98617553710938,165.39088439941406
2020-03-03,70.21189880371094,66.5677490234375,157.4654998779297
2020-03-04,73.46864318847656,68.75130462646484,163.24684143066406
2020-03-05,71.08554077148438,65.42520904541016,159.1501007080078
2020-03-06,70.14154052734375,64.47872924804688,154.65135192871094
2020-03-09,64.59387969970703,60.50025177001953,144.17025756835938
2020-03-10,69.24604034423828,63.45512390136719,154.02914428710938
2020-03-11,66.84107971191406,60.25691223144531,147.05137634277344
2020-03-12,60.24021530151367,55.31304931640625,133.1052703857422
2020-03-13,67.45748901367188,60.42461395263672,152.0286865234375
2020-03-16,58.77928924560547,53.39472198486328,129.62110900878906
2020-03-17,61.36381530761719,55.63700485229492,140.29368591308594
2020-03-18,59.86163330078125,54.299896240234375,134.3878936767578
2020-03-19,59.40296936035156,55.31902313232422,136.59898376464844
2020-03-20,55.631744384765625,53.1563606262207,131.46852111816406
2020-03-23,54.449893951416016,52.455711364746094,130.15716552734375
2020-03-24,59.912593841552734,56.23166275024414,141.98789978027344
2020-03-25,59.582557678222656,54.818912506103516,140.62867736816406
2020-03-26,62.71796417236328,57.869327545166016,149.42514038085938
2020-03-27,60.12129592895508,55.24885559082031,143.2896270751953
2020-03-30,61.837039947509766,57.04277801513672,153.36875915527344
2020-03-31,61.710845947265625,57.82106018066406,150.95664978027344
2020-04-01,58.46380615234375,54.842796325683594,145.59646606445312
2020-04-02,59.43937683105469,55.58574676513672,148.61155700683594
2020-04-03,58.585140228271484,54.37503433227539,147.24282836914062
2020-04-06,63.69594192504883,58.87800979614258,158.19293212890625
2020-04-07,62.95822525024414,58.84665298461914,156.48915100097656
2020-04-08,64.56961822509766,60.062843322753906,158.05892944335938
2020-04-09,65.03556060791016,60.04144287109375,158.06851196289062
2020-04-13,66.31205749511719,60.2325325012207,158.42262268066406
2020-04-14,69.6610107421875,62.96049118041992,166.26193237304688
2020-04-15,69.02519226074219,62.56587600708008,164.51988220214844
2020-04-16,69.57366180419922,62.57234191894531,169.4589385986328
2020-04-17,68.62962341308594,63.645713806152344,170.95208740234375
2020-04-20,67.2051010131836,62.7574577331543,167.56370544433594
2020-04-21,65.12776947021484,60.319618225097656,160.63375854492188
2020-04-22,67.00367736816406,62.62111282348633,166.0896453857422
2020-04-23,66.74398803710938,63.256072998046875,164.07958984375
2020-04-24,68.67088317871094,63.52628707885742,167.07557678222656
2020-04-27,68.71942901611328,63.24065017700195,166.59693908691406
2020-04-28,67.60552215576172,61.33625411987305,162.5384979248047
2020-04-29,69.82604217529297,66.78968048095703,169.8321990966797
2020-04-30,71.29910278320312,67.01460266113281,171.5360107421875
2020-05-01,70.1512451171875,65.55260467529297,167.0946807861328
2020-05-04,71.14379119873047,65.83026885986328,171.18182373046875
2020-05-05,72.21156311035156,67.13005828857422,173.01963806152344
2020-05-06,72.95659637451172,66.951416015625,174.72340393066406
2020-05-07,73.7113265991211,68.13822937011719,175.738037109375
2020-05-08,75.46578216552734,68.88764953613281,176.77175903320312
2020-05-11,76.65326690673828,69.84556579589844,178.74356079101562
